ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Ethiopia,LFS - National Labor Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,4617.399,,,Currency: ETH - Birr (ETB),Repository: ILO-STATISTICS - Micro data processing
"Falkland Islands, Malvinas",PC - Population Census,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2016,2363.083,,,Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Currency: FLK - Falkland Islands pound (FKP),Population coverage: Excluding armed forces and/or conscripts
Fiji,"LFS - Employment, Unemployment Survey",Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2016,1075.061,,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: FJI - Fijian dollar (FJD),Repository: ILO-STATISTICS - Micro data processing
Finland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,5240.5,,,Currency: FIN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
France,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,4642.333,,,Currency: FRA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
French Polynesia,"ADM-IR - Social Security, Tax Administration, and French Representation",Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2003,225524.0,,,Working time concept: Hours actually worked | Currency: PYF - CFP franc (XPF),Reference group coverage: Employees
Gambia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2018,4087.448,Break in series,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: GMB - Dalasi (GMD) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Georgia,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,992.328,,,Currency: GEO - Lari (GEL),Repository: ILO-STATISTICS - Micro data processing
Germany,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,5112.925,,,Currency: DEU - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Ghana,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,2067.396,,,Currency: GHA - Cedi (GHS),Repository: ILO-STATISTICS - Micro data processing
Gibraltar,ES - Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2018,1886.494,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Working time concept: Hours actually worked | Currency: GIB - Gibraltar pound (GIP),Data reference period: October
Greece,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,2025.562,,,Currency: GRC - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Guatemala,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,2880.545,,,Currency: GTM - Quetzal (GTQ),Repository: ILO-STATISTICS - Micro data processing
