,country,year,wage,sex,ISO,currency,local_currency,break
246,Argentina,2013,912.408,T,ARG,USD,Argentine peso (ARS),False
247,Argentina,2013,5594.005,M,ARG,Local,Argentine peso (ARS),False
248,Argentina,2013,1215.998,M,ARG,PPP,Argentine peso (ARS),False
249,Argentina,2013,1024.665,M,ARG,USD,Argentine peso (ARS),False
250,Argentina,2013,4198.434,F,ARG,Local,Argentine peso (ARS),False
251,Argentina,2013,912.636,F,ARG,PPP,Argentine peso (ARS),False
252,Argentina,2013,769.035,F,ARG,USD,Argentine peso (ARS),False
253,Argentina,2012,3925.666,T,ARG,Local,Argentine peso (ARS),False
254,Argentina,2012,1066.904,T,ARG,PPP,Argentine peso (ARS),False
255,Argentina,2012,865.268,T,ARG,USD,Argentine peso (ARS),False
256,Argentina,2012,4410.081,M,ARG,Local,Argentine peso (ARS),False
257,Argentina,2012,1198.557,M,ARG,PPP,Argentine peso (ARS),False
258,Argentina,2012,972.04,M,ARG,USD,Argentine peso (ARS),False
259,Argentina,2012,3304.936,F,ARG,Local,Argentine peso (ARS),False
260,Argentina,2012,898.204,F,ARG,PPP,Argentine peso (ARS),False
261,Argentina,2012,728.451,F,ARG,USD,Argentine peso (ARS),False
262,Argentina,2011,3150.631,T,ARG,Local,Argentine peso (ARS),False
263,Argentina,2011,996.668,T,ARG,PPP,Argentine peso (ARS),False
264,Argentina,2011,766.551,T,ARG,USD,Argentine peso (ARS),False
265,Argentina,2011,3542.718,M,ARG,Local,Argentine peso (ARS),False
266,Argentina,2011,1120.701,M,ARG,PPP,Argentine peso (ARS),False
267,Argentina,2011,861.946,M,ARG,USD,Argentine peso (ARS),False
268,Argentina,2011,2643.812,F,ARG,Local,Argentine peso (ARS),False
269,Argentina,2011,836.342,F,ARG,PPP,Argentine peso (ARS),False
270,Argentina,2011,643.242,F,ARG,USD,Argentine peso (ARS),False
271,Argentina,2010,2418.527,T,ARG,Local,Argentine peso (ARS),False
272,Argentina,2010,2708.707,M,ARG,Local,Argentine peso (ARS),False
273,Argentina,2010,2047.072,F,ARG,Local,Argentine peso (ARS),False
274,Argentina,2009,1968.266,T,ARG,Local,Argentine peso (ARS),False
275,Argentina,2009,2201.785,M,ARG,Local,Argentine peso (ARS),False
276,Argentina,2009,1676.452,F,ARG,Local,Argentine peso (ARS),False
277,Argentina,2008,1636.195,T,ARG,Local,Argentine peso (ARS),False
278,Argentina,2008,1862.376,M,ARG,Local,Argentine peso (ARS),False
279,Argentina,2008,1348.002,F,ARG,Local,Argentine peso (ARS),False
280,Argentina,2007,1967.994,T,ARG,Local,Argentine peso (ARS),False
281,Argentina,2006,1026.552,T,ARG,Local,Argentine peso (ARS),False
