,ISO,country,year,sex,avg monthly earnings,local currency
386,ARM,Armenia,2012,F,69123.535,Dram (AMD)
387,ARM,Armenia,2012,F,437.279,Dram (AMD)
388,ARM,Armenia,2012,F,172.05,Dram (AMD)
389,ARM,Armenia,2011,T,82681.486,Dram (AMD)
390,ARM,Armenia,2011,T,499.197,Dram (AMD)
391,ARM,Armenia,2011,T,221.963,Dram (AMD)
392,ARM,Armenia,2011,M,97430.606,Dram (AMD)
393,ARM,Armenia,2011,M,588.246,Dram (AMD)
394,ARM,Armenia,2011,M,261.558,Dram (AMD)
395,ARM,Armenia,2011,F,64292.79,Dram (AMD)
396,ARM,Armenia,2011,F,388.173,Dram (AMD)
397,ARM,Armenia,2011,F,172.598,Dram (AMD)
398,ARM,Armenia,2010,T,79081.411,Dram (AMD)
399,ARM,Armenia,2010,T,498.258,Dram (AMD)
400,ARM,Armenia,2010,T,211.64,Dram (AMD)
401,ARM,Armenia,2010,M,92118.674,Dram (AMD)
402,ARM,Armenia,2010,M,580.4,Dram (AMD)
403,ARM,Armenia,2010,M,246.53,Dram (AMD)
404,ARM,Armenia,2010,F,59741.188,Dram (AMD)
405,ARM,Armenia,2010,F,376.403,Dram (AMD)
406,ARM,Armenia,2010,F,159.881,Dram (AMD)
407,ARM,Armenia,2009,T,101800.0,Dram (AMD)
408,ARM,Armenia,2009,T,682.645,Dram (AMD)
409,ARM,Armenia,2009,T,280.222,Dram (AMD)
410,ARM,Armenia,2008,T,91539.0,Dram (AMD)
411,ARM,Armenia,2008,T,637.014,Dram (AMD)
412,ARM,Armenia,2008,T,299.177,Dram (AMD)
413,ARM,Armenia,2007,T,57952.92,Dram (AMD)
414,ARM,Armenia,2007,T,423.14,Dram (AMD)
415,ARM,Armenia,2007,T,169.414,Dram (AMD)
416,ARM,Armenia,2007,M,69032.061,Dram (AMD)
417,ARM,Armenia,2007,M,504.034,Dram (AMD)
418,ARM,Armenia,2007,M,201.801,Dram (AMD)
419,ARM,Armenia,2007,F,42240.351,Dram (AMD)
420,ARM,Armenia,2007,F,308.416,Dram (AMD)
421,ARM,Armenia,2007,F,123.481,Dram (AMD)
422,ARM,Armenia,2006,T,62293.0,Dram (AMD)
423,ARM,Armenia,2006,T,461.704,Dram (AMD)
424,ARM,Armenia,2006,T,149.728,Dram (AMD)
425,ARM,Armenia,2005,T,52060.0,Dram (AMD)
426,ARM,Armenia,2005,T,384.612,Dram (AMD)
427,ARM,Armenia,2005,T,113.746,Dram (AMD)
428,ARM,Armenia,2004,T,43445.0,Dram (AMD)
429,ARM,Armenia,2004,T,312.417,Dram (AMD)
430,ARM,Armenia,2004,T,81.441,Dram (AMD)
431,ARM,Armenia,2003,T,34783.0,Dram (AMD)
432,ARM,Armenia,2003,T,260.564,Dram (AMD)
433,ARM,Armenia,2003,T,60.099,Dram (AMD)
434,ARM,Armenia,2002,T,27324.0,Dram (AMD)
435,ARM,Armenia,2002,T,209.594,Dram (AMD)
436,ARM,Armenia,2002,T,47.657,Dram (AMD)
437,ARM,Armenia,2001,T,24483.0,Dram (AMD)
438,ARM,Armenia,2001,T,186.829,Dram (AMD)
439,ARM,Armenia,2001,T,44.107,Dram (AMD)
440,ARM,Armenia,2000,T,21667.0,Dram (AMD)
441,ARM,Armenia,2000,T,165.854,Dram (AMD)
442,ARM,Armenia,2000,T,40.159,Dram (AMD)
443,ARM,Armenia,1999,T,18835.0,Dram (AMD)
