ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Cambodia,HIES - Household Socio-Economic Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,280.334,,,Currency: KHM - Riel (KHR),Repository: ILO-STATISTICS - Micro data processing
Cameroon,HS - Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2014,310.094,,,Currency: CMR - Central African CFA franc (XAF),Repository: ILO-STATISTICS - Micro data processing
Canada,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,4427.261,,,Currency: CAN - Canadian Dollar (CAD),Repository: ILO-STATISTICS - Micro data processing
Chad,HIES - Modular and Integrated Household Survey on Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2018,225.722,,,Currency: TCD - Central African CFA franc (XAF),Repository: ILO-STATISTICS - Micro data processing
Chile,HIES - Supplemental Income Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,1182.625,,,Currency: CHL - Chilean peso (CLP),Repository: ILO-STATISTICS - Micro data processing
Colombia,LFS - Integrated Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,403.65,,,Currency: COL - Colombian peso (COP),Repository: ILO-STATISTICS - Micro data processing
Comoros,LFS - National Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,274.32,,,Currency: COM - Comorian franc (KMF),Repository: ILO-STATISTICS - Micro data processing
Congo,LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2009,207.37,Break in series,,Currency: COG - Central African CFA franc (XAF) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Urban areas only
"Congo, Democratic Republic of the",LFS - Survey on Employment and household's living conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2012,102.534,Break in series,,Currency: COD - Congolese franc (CDF) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Costa Rica,LFS - Continuous Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,832.039,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: CRI - Colon (CRC),Employment definition: Excluding own-use production workers
Croatia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,1736.349,,,Currency: HRV - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Curaçao,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2018,1625.374,,,Central tendency measure: Weighted mean | Value type: Real values | Accounting concept: Net | Working time arrangement coverage: Full-time and part time workers | Currency: CUW - Netherlands Antillean Guilder (ANG),Employment definition: Including subsistence workers | Data reference period: Fourth quarter
Cyprus,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,3183.277,,,Currency: CYP - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Czechia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,2676.169,,,Currency: CZE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Côte d'Ivoire,HIES - Living Standards Measurement Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,214.432,,,Currency: CIV - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Denmark,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,6605.014,,,Currency: DNK - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
