,ISO,year,country,T,M,F,ratio,break,female_share,male_share,balanced_avg,balanced_ratio
3714,IMN,1993,Isle of Man,1147.45,1290.34,900.64,0.697986577181208,False,0.3666666666666664,0.6333333333333335,1095.49,0.8221343873517787
3715,IMN,1994,Isle of Man,1134.373,1348.622,925.711,0.6864125010566341,False,0.5066054087030132,0.4933945912969868,1137.1665,0.8140505370145884
3716,IMN,1995,Isle of Man,1199.28,1467.177,922.42,0.6287039668697096,False,0.4917733962115218,0.5082266037884782,1194.7984999999999,0.7720297606667568
3717,IMN,1996,Isle of Man,1246.607,1539.099,978.234,0.6355887438040049,False,0.5215016091216247,0.4784983908783753,1258.6665,0.7771987257943228
3718,IMN,1997,Isle of Man,306.84,370.77,243.7,0.6572807940232489,False,0.503108522861415,0.49689147713858495,307.235,0.7932038992953276
3719,IMN,1998,Isle of Man,1396.382,1701.733,1126.016,0.6616878205923021,False,0.5303838517882917,0.4696161482117083,1413.8745,0.7964044899317444
3720,IMN,1999,Isle of Man,1492.075,1788.723,1181.917,0.6607602183233513,False,0.4888679413189716,0.5111320586810284,1485.32,0.7957322327848544
3721,IMN,2000,Isle of Man,1513.638,1834.621,1206.598,0.6576824314122643,False,0.5111007080950859,0.4888992919049141,1520.6095,0.7934962921118144
3722,IMN,2001,Isle of Man,1596.558,1930.444,1251.024,0.6480498786807594,False,0.4914279826911188,0.5085720173088812,1590.734,0.7864444966914644
3723,IMN,2002,Isle of Man,1656.355,1957.42,1351.739,0.6905717730481961,False,0.49706858891066424,0.5029314110893357,1654.5795,0.816968299196261
3724,IMN,2003,Isle of Man,1798.855,2143.177,1438.816,0.6713472568994534,False,0.48884307904611424,0.5111569209538858,1790.9965000000002,0.8033605872484954
3725,IMN,2004,Isle of Man,1821.891,2180.068,1473.672,0.6759752448088775,False,0.5070484544080092,0.49295154559199084,1826.8700000000001,0.8066649515291181
3726,IMN,2005,Isle of Man,1857.57,2212.63,1489.52,0.6731898238747553,False,0.49101796407185644,0.5089820359281436,1851.075,0.8046783625730994
3727,IMN,2006,Isle of Man,2011.285,2404.016,1645.833,0.6846181556195966,False,0.5179897201599086,0.48201027984009137,2024.9245,0.8127873409601197
3728,IMN,2007,Isle of Man,2080.132,2383.665,1767.073,0.7413260672116259,False,0.49227528089887634,0.5077247191011236,2075.369,0.8514500312956395
3729,IMN,2008,Isle of Man,2154.392,2534.262,1811.326,0.7147350984231307,False,0.5254545353945581,0.4745454646054419,2172.794,0.8336390840549082
3730,IMN,2013,Isle of Man,2689.203,2855.478,2437.735,0.853704703730864,False,0.39803180424327905,0.6019681957567209,2646.6065,0.9210795031297627
